family,dv,outcome_label,n_complete,f_condition,df_num,df_den,p_condition,q_condition_bh,partial_eta2,chi2_condition_mixed,p_condition_mixed,q_condition_mixed,f_condition_rm_anova,p_condition_rm_anova,candidate_nominal_significant,current_mixed_nominal_significant,nominal_decision_unchanged,candidate_fdr_significant,current_mixed_fdr_significant,fdr_decision_unchanged,interpretation_unchanged_at_both_thresholds
tracer_peak,tracer_peak_DIS,Disembodiment,39,3.455307765970937,2,75,0.036689371301769885,0.10089577107986719,0.08436776463054424,6.874957806438147,0.0321456254889412,0.0884004700945883,3.520991012931375,0.0344828909451617,True,True,True,False,False,True,True
tracer_peak,tracer_peak_ICC,Impaired Control and Cognition,39,2.015983827382796,2,75,0.14034358839583871,0.2221555175539695,0.05101692105627926,4.084416248994216,0.1297419080613041,0.2054336594332806,2.01078411592464,0.1409445517319958,False,False,True,False,False,True,True
tracer_peak,tracer_peak_ANX,Anxiety,39,2.008293265263915,2,75,0.14137169298888969,0.2221555175539695,0.05083219494651333,4.069234492100691,0.1307305105484512,0.2054336594332806,2.0541428003527225,0.1352614012029501,False,False,True,False,False,True,True
tracer_peak,tracer_peak_CI,Complex Imagery,39,0.1395313772345106,2,75,0.8699909822419446,0.8699909822419446,0.0037070434229397246,0.2896866598811698,0.8651578268215584,0.8651578268215584,0.147144472527416,0.8634145727018375,False,False,True,False,False,True,True
tracer_peak,tracer_peak_EI,Elementary Imagery,39,29.47737077641737,2,75,3.579884147986076e-10,3.937872562784684e-09,0.44010940463486076,45.24108261498566,1.4997667896400972e-10,1.649743468604107e-09,28.21379087290893,6.85070811318207e-10,True,True,True,True,True,True,True
tracer_peak,tracer_peak_AVS,Audio-Visual Synesthesia,39,9.602339157331114,2,75,0.00019367774430816936,0.0010652275936949315,0.2038611952000389,17.78257497513232,0.0001375824082627,0.0007567032454448,9.789499021413365,0.0001648703326242,True,True,True,True,True,True,True
tracer_peak,tracer_peak_CMP,Changed Meaning of Percepts,39,1.828641455450018,2,75,0.16772087321269305,0.23061620066745295,0.046496430788778534,3.713744632670114,0.1561602873318999,0.2147203950813624,1.8476888767636943,0.164610461767975,False,False,True,False,False,True,True
tracer_auc,tracer_auc_EU,Experience of Unity,39,8.629731836132018,2,75,0.00042353340192723723,0.0015529558070665366,0.18707526561801105,16.15510660566804,0.0003104296343158,0.0011382419924913,8.497011008709439,0.0004673317748454,True,True,True,True,True,True,True
tracer_auc,tracer_auc_SE,Spiritual Experience,39,0.6868835987234454,2,75,0.5062783868171618,0.6187846949987532,0.017987422224378827,1.4157906630240973,0.4926800351757789,0.6021644874370632,0.5538400737324509,0.57704049733093,False,False,True,False,False,True,True
tracer_auc,tracer_auc_BS,Blissful State,39,0.10687145652374218,2,75,0.8987777821230692,0.8987777821230692,0.002841806626942986,0.2219764736087199,0.8949492763305382,0.8949492763305382,0.1494945072085118,0.8613957712371695,False,False,True,False,False,True,True
tracer_auc,tracer_auc_IS,Insightfulness,39,2.8538790456220453,2,75,0.06389608398626007,0.11808528788881541,0.07072130642993688,5.721034177204558,0.0572391548972263,0.105816637602859,2.5761805988843665,0.0826936967264527,False,False,True,False,False,True,True
tracer_auc,tracer_auc_DIS,Disembodiment,39,3.5636413345413733,2,75,0.03322904544487247,0.09137987497339929,0.08678337377605518,7.081008306957301,0.028998703598971,0.0797464348971703,3.5787388294272278,0.032708965631904,True,True,True,False,False,True,True
tracer_auc,tracer_auc_ICC,Impaired Control and Cognition,39,2.8452568675270165,2,75,0.06441015703026295,0.11808528788881541,0.07052271043581083,5.7043666405321005,0.0577181659651958,0.105816637602859,2.7544707512362767,0.0700030368770208,False,False,True,False,False,True,True
tracer_auc,tracer_auc_ANX,Anxiety,39,1.7265107406181799,2,75,0.18489901154668453,0.2542361408766912,0.04401387500495721,3.51092661187829,0.1728271518940525,0.2376373338543222,1.779014829675582,0.1757615167751884,False,False,True,False,False,True,True
tracer_auc,tracer_auc_CI,Complex Imagery,39,0.20103483085016768,2,75,0.8183232229752428,0.8987777821230692,0.0053323425139955045,0.4170355952138607,0.8117865867153927,0.892965245386932,0.2032666280115845,0.8165028223047107,False,False,True,False,False,True,True
tracer_auc,tracer_auc_EI,Elementary Imagery,39,31.011712670586746,2,75,1.5310579563499906e-10,1.6841637519849897e-09,0.452648335032801,47.007775274268,6.199994381249183e-11,6.819993819374101e-10,31.016370682667837,1.4177387261046294e-10,True,True,True,True,True,True,True
tracer_auc,tracer_auc_AVS,Audio-Visual Synesthesia,39,9.939956912336994,2,75,0.00014817052453997175,0.0008149378849698446,0.20952710666885238,18.33966524577249,0.0001041339379103,0.000572736658507,10.101388239742636,0.0001287619273532,True,True,True,True,True,True,True
tracer_auc,tracer_auc_CMP,Changed Meaning of Percepts,39,1.8039803087512363,2,75,0.1717127453616251,0.2542361408766912,0.04589815826743559,3.66481914951936,0.1600275046019822,0.2376373338543222,1.7808536454845372,0.1754530558301726,False,False,True,False,False,True,True
