family,scale,target,n,rho,ci95_low,ci95_high,permutation_p,q_bh_family
11D-ASC items,Small self,Q26 (CMP),39,0.38492846198709113,0.04400562289650036,0.6362255701795124,0.015198480151984802,0.07979202079792021
11D-ASC items,Small self,Q27 (ANX),39,-0.02320928363526912,-0.32029540299613735,0.28937193386196486,0.8886111388861114,0.9707490789382599
11D-ASC items,Small self,Q28 (DIS),39,0.18078278093020958,-0.17858994646588564,0.5375717075599601,0.2642735726427357,0.4689925373659817
11D-ASC items,Small self,Q29 (DIS),39,0.35783750825456656,-0.007012666441865052,0.6534512544920371,0.024397560243975602,0.10246975302469753
11D-ASC items,Small self,Q30 (ICC),39,0.22306383271072827,-0.12827119605780996,0.5291967085833231,0.17328267173282672,0.37305083051016935
11D-ASC items,Small self,Q31 (ICC),39,-0.02231148887493437,-0.35699077416089137,0.3308715629949647,0.895010498950105,0.9707490789382599
11D-ASC items,Small self,Q32 (IS),39,0.14524765806595735,-0.2112169135786147,0.4672586637206225,0.37566243375662434,0.5766923307669234
11D-ASC items,Small self,Q33 (CI),39,0.11809523825172585,-0.26718739577596384,0.44481586971005904,0.47935206479352066,0.6565039148259088
11D-ASC items,Small self,Q34 (AVS),39,0.4885639853707214,0.19955886376053705,0.7201830085990285,0.0010998900109989002,0.017323267673232678
11D-ASC items,Small self,Q35 (IS),39,0.19338126763751137,-0.1269003669151331,0.49283221833411067,0.24677532246775322,0.46504173112100555
11D-ASC items,Small self,Q36 (ICC),39,0.33569791201130567,-0.005351754385683912,0.5975578943408071,0.0337966203379662,0.1290416412904164
11D-ASC items,Small self,Q37 (SE),39,0.21649161819331628,-0.14231011669391105,0.5327876189527357,0.1865813418658134,0.39182081791820816
11D-ASC items,Small self,Q38 (CI),39,0.03950233640009261,-0.3221582507922739,0.38507467175222454,0.8181181881811819,0.9194850426461778
11D-ASC items,Small self,Q39 (BS),39,0.5125507264554655,0.24522035280778484,0.7159080747032998,0.0008999100089991,0.016198380161983803
11D-ASC items,Small self,Q40 (ANX),39,0.036771050988617146,-0.30825605663884953,0.392451556891437,0.8246175382461753,0.9194850426461778
11D-ASC items,Small self,Q41 (BS),39,0.3077897344046,-0.04246634073451012,0.5931003557882947,0.0542945705429457,0.17541322790797842
11D-ASC items,Small self,Q42 (SE),39,0.4104942511186046,0.07889221787969601,0.6862342874859043,0.010498950104989501,0.07349265073492652
